id;orden;carro;lado;fecha_hora;usuario;sector;estado
390;65420-1 - 3;12;A;2026-04-08 12:31:52.259690;Daniel;En Proceso en Corte;
389;65420-1 - 2;22;A;2026-04-08 12:31:36.829776;Daniel;En Proceso en Corte;
388;65420-1;22;A;2026-04-08 12:31:16.629318;Daniel;En Proceso en Corte;
377;29;0;-;2026-04-08 11:49:59.716397;Willy;Terminado;
376;29;34;A;2026-04-08 11:49:59.535109;Willy;En Proceso en Templado;
374;28;0;-;2026-04-08 11:08:42.856366;Ruben;Entrega;
373;28;0;-;2026-04-08 11:07:19.823109;Ruben;Terminado;
372;28;30;A;2026-04-08 11:07:19.663060;Ruben;En Proceso en Templado;
371;28;52;A;2026-04-08 11:06:57.307732;Ruben;En Proceso en Templado;
370;28;52;A;2026-04-08 11:06:45.746821;Ruben;Enviado a Templado;
369;28;52;A;2026-04-08 11:06:45.576239;Ruben;En Proceso en Canteado;
368;28;51;A;2026-04-08 11:06:22.035755;Ruben;En Proceso en Canteado;
367;28;51;A;2026-04-08 11:06:06.721452;Ruben;Enviado a Canteado;
366;28;51;A;2026-04-08 11:06:06.558702;Ruben;En Proceso en Corte;
365;28;51;A;2026-04-08 11:05:05.820434;Ruben;Corte;
364;32;74;A;2026-04-08 10:48:42.381926;Facundo;Enviado a Perforación;
363;32;74;A;2026-04-08 10:48:42.197150;Facundo;En Proceso en Canteado;
362;32;21;B;2026-04-08 10:48:19.542799;Facundo;En Proceso en Canteado;
361;29;78;A;2026-04-08 10:46:49.862392;Facundo;En Proceso en Templado;
360;29;78;A;2026-04-08 10:46:37.397416;Facundo;Enviado a Templado;
359;29;78;A;2026-04-08 10:46:37.234743;Facundo;En Proceso en Perforación;
358;29;0;-;2026-04-08 10:43:26.410642;Facundo;En Proceso en Perforación;
357;29;45;A;2026-04-08 10:42:47.432362;Facundo;Enviado a Perforación;
356;29;45;A;2026-04-08 10:42:47.245860;Facundo;En Proceso en Canteado;
355;29;45;A;2026-04-08 10:42:27.031065;Facundo;En Proceso en Canteado;
354;24;0;-;2026-04-08 10:38:39.005200;Daniel;En Proceso en Templado;
353;24;45;A;2026-04-08 10:38:21.285260;Daniel;Enviado a Templado;
